PERMNO	date	SHRCD	EXCHCD	RET
10026	20201231	11	3	0.072598
10028	20201231	11	2	0.125541
10032	20201231	11	3	0.046848
10044	20201231	11	3	-0.051522
10051	20201231	11	1	-0.030851
10065	20201231	14	1	0.036571
10104	20201231	11	1	0.120755
10107	20201231	11	3	0.039006
10113	20201231	73	4	0.054937
10138	20201231	11	3	0.061920
10145	20201231	11	1	0.043056
10158	20201231	11	1	0.172615
10200	20201231	11	3	0.010334
10201	20201231	12	1	0.019417
10207	20201231	14	3	0.050960
10220	20201231	11	1	0.059775
10232	20201231	11	3	-0.039539
10239	20201231	11	3	-0.040588
10252	20201231	11	3	0.086635
10253	20201231	11	2	0.162011
10257	20201231	11	3	0.021930
10258	20201231	11	3	-0.221333
10294	20201231	11	1	0.020800
10308	20201231	11	2	0.109888
10318	20201231	11	3	0.116790
10333	20201231	11	3	0.332830
10355	20201231	11	3	0.496296
10382	20201231	11	3	-0.002069
10397	20201231	11	3	-0.017004
10421	20201231	11	3	-0.061030
10443	20201231	11	3	-0.005241
10463	20201231	11	3	-0.040956
10501	20201231	11	3	0.072449
10514	20201231	11	3	0.145636
10516	20201231	11	1	0.012859
10517	20201231	11	1	-0.002247
10530	20201231	11	3	-0.011111
10547	20201231	11	3	0.039529
10550	20201231	11	3	-0.176768
10606	20201231	11	1	0.038839
10629	20201231	11	1	0.089468
10645	20201231	11	3	0.374874
10649	20201231	11	3	0.062907
10661	20201231	11	3	0.055556
10693	20201231	11	1	0.029660
10696	20201231	11	3	-0.011460
10777	20201231	11	3	0.087308
10779	20201231	11	2	0.000000
10781	20201231	11	3	0.004963
10812	20201231	11	3	-0.019480
10860	20201231	11	3	-0.117917
10866	20201231	11	1	0.335599
10874	20201231	11	1	0.021436
10886	20201231	11	3	0.049383
10890	20201231	11	1	0.349794
10892	20201231	11	3	0.177026
10901	20201231	11	3	-0.100000
10909	20201231	11	3	0.051577
10932	20201231	11	1	0.113901
10933	20201231	11	1	0.061068
10952	20201231	18	1	0.275819
10966	20201231	11	3	0.252624
11006	20201231	11	3	0.061868
11018	20201231	11	1	0.161209
11043	20201231	11	3	0.178241
11144	20201231	11	1	0.025066
11154	20201231	11	3	-0.037101
11174	20201231	11	3	0.051100
11203	20201231	12	1	0.115080
